PlaceName,Etymology,Derivation,ReferenceTitle
London,"Obscure. Earlier explanations, including an unrecorded Brit. pers.n. 'Londinos' town', 'water, pool' from an Indo-European root, a Welsh derivation 'lake fort' and Geoffrey of Monmouth's claim that the place took its name from a British warrior-king named",Obscure element Unknown - Obscure element,"Gover et al; Place-names of Middlesex apart from the City of London; Mills; Dictionary of London Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Transactions of the Philological Society, 1998"
Mile End New and Old Town,'District a mile away'.,"ende Old English - An end; the end of something, the end of an estate, a district or quarter of a village or town.; mīl Old English - A mile.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Mills; Dictionary of London Place-Names; Gover et al; Place-names of Middlesex apart from the City of London; Watts; Cambridge Dictionary of English Place-names
Newington,'New farm/settlement'.,nīwe Old English - New.; tūn Old English - An enclosure; a farmstead; a village; an estate.,Gover et al.; Place-names of Surrey; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Ossulstone Hundred,"'Oswulf's stone'. Traditionally, it has been believed that the meeting-place of the hundred was on the present site of the Marble Arch, at the junction of Watling Street (Edgware Road) and the Roman road to Staines. However, there is still an 'Ossulston S","hundred Old English - One hundred; an administrative division of a county.; Personal name (Old English) Old English - Personal name; stān Old English - A stone, stone, rock.",Anderson (unspecified work); Gover et al; Place-names of Middlesex apart from the City of London
Paddington,'Farm/settlement connected with Padda'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mills; Dictionary of London Place-Names; E. Ekwall; Dictionary of English Place-Names; Gover et al; Place-names of Middlesex apart from the City of London
Plumstead,'Plum-tree place'.,"plūme Old English - A plum; a plum-tree.; stede Old English - A place, a site, a locality; a religious house or foundation; a place of communal activity; a farm, a dairy-farm, an estate.",A.D. Mills; Dictionary of English Place-Names; Wallenberg; Kentish Place-Names; Watts; Cambridge Dictionary of English Place-names; Mills; Dictionary of London Place-Names; E. Ekwall; Dictionary of English Place-Names; Wallenberg; The Place-Names of Kent
Poplar,'Poplar-tree'.,popler Middle English - A poplar-tree.,Watts; Cambridge Dictionary of English Place-names; Mills; Dictionary of London Place-Names; E. Ekwall; Dictionary of English Place-Names; Gover et al; Place-names of Middlesex apart from the City of London; A.D. Mills; Dictionary of English Place-Names
Putney,"'Putta's landing-place' or perhaps, 'hawks' landing-place'.","hȳð Old English - A landing place on a river; an inland port.; Personal name (Old English) Old English - Personal name; putta Old English - A hawk, a kite.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Surrey
Ratcliff,'Red cliff '.,"clif Old English - An escarpment, a hill-slope; a river-bank.; rēad Old English - Red.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al; Place-names of Middlesex apart from the City of London; Mills; Dictionary of London Place-Names
Rotherhithe,'Cattle landing-place'.,"hrīðer Old English - An ox, cattle.; hȳð Old English - A landing place on a river; an inland port.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Surrey; E. Ekwall; Dictionary of English Place-Names
