PlaceName,Etymology,Derivation,ReferenceTitle
Penn,"'Hill' or perhaps, 'enclosure'.","penn C; penn Old English - A small enclosure, a fold; later an enclosure for animals.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Place-names of Buckinghamshire; E. Ekwall; Dictionary of English Place-Names
Petsoe,'Peot's hill-spur'.,hōh Old English - A heel; a sharply projecting piece of ground.; Personal name (Old English) Old English - Personal name,A.D. Mills; Dictionary of English Place-Names; Place-names of Buckinghamshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Pitchcott,"Probably, 'pitch cottage(s)', ie., a place where pitch was made or stored.","cot Old English - A cottage, a hut, a shelter, a den.; Personal name (Old English) Old English - Personal name; pīc Old English - A point; a pointed tool; a pike (the fish); a pointed hill.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Place-names of Buckinghamshire
Pitstone,'Picel's thorn-tree'.,Personal name (Old English) Old English - Personal name; þorn Old English - A hawthorn-tree.,Place-names of Buckinghamshire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Poundon,"Uncertain. Possibly, 'peafowl hill' or perhaps, 'Pohha's hill'.",dūn Old English - A hill.; pāwa Old English - A peacock.; Personal name (Old English) Old English - Personal name,Watts; Cambridge Dictionary of English Place-names; Place-names of Buckinghamshire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Preston Bisset,"'Priests' farm/settlement'. It was geld by Manasser Biset, Henry II's steward, in 1167.",Family name Unknown - Family name.; prēost Old English - A priest.; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Place-names of Buckinghamshire; Watts; Cambridge Dictionary of English Place-names
Princes Risborough,'Hill growing with brushwood'. It was held by the Black Prince in 1343. For the name of the hundred see Monks Risborough.,berg Old English; hrīsen Old English - Growing with or made of brushwood.; prince Middle English - A prince.,Watts; Cambridge Dictionary of English Place-names; Place-names of Buckinghamshire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Quainton,"'Queen's farm/settlement'. Alternatively, perhaps, 'Cwena's farm/settlement', a femine personal name.","cwēn Old English - A queen, the wife or consort of a king.; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.",E. Ekwall; Dictionary of English Place-Names; Place-names of Buckinghamshire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Quarrendon,'Mill hill'.,"cweorn Old English - A quern, a hand-mill; possibly also used of any mill.; dūn Old English - A hill.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Place-names of Buckinghamshire; Watts; Cambridge Dictionary of English Place-names
Radclive,'At the red cliff'.,"clif Old English - An escarpment, a hill-slope; a river-bank.; rēad Old English - Red.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Place-names of Buckinghamshire
Radnage,'At the red oak-tree'.,āc Old English - An oak-tree.; rēad Old English - Red.,E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Place-names of Buckinghamshire
Ravenstone,'*Hraefn's farm/settlement' or 'Hrafn's farm/settlement'.,Personal name (Old English) Old English - Personal name; Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Place-names of Buckinghamshire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Rowley Hundred,"'Rough mound/hill'. There is a Rowley Hill (SP 695 305) in Hillesden parish, which may have been the meeting-place of the hundred; at the least it preserves the name. A charter description seems to place the hill somewhere above 'Stocking Wood' (SP 685 30",hlāw Old English - A tumulus; a hill.; hundred Old English - One hundred; an administrative division of a county.; rūh Old English - Rough.,Anderson (unspecified work)
Saunderton,"Uncertain. Perhaps, '*Sandhere's hill' or 'burnt tree hill'. Alternatively, '*Sandris (sandy brushwood) hill', which is geologically appropriate.","dūn Old English - A hill.; hrís Old Norse - Shrubs, brushwood.; Personal name (Old English) Old English - Personal name; sand Old English - Sand.; senget Old English - A place cleared by burning, a clearing.; trēow Old English - A tree; a large piece of wood, a post, a beam.",A.D. Mills; Dictionary of English Place-Names; Place-names of Buckinghamshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Seer Green,Usually taken to be 'dry/barren place' but perhaps 'the enclosure'.,"grēne Old English - Green, grass-grown.; sēar Old English - Dry, barren.; serre Old French - Enclosure.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Place-names of Buckinghamshire; E. Ekwall; Dictionary of English Place-Names
Shabbington,'Farm/settlement connected with *Sc(e)obba'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Place-names of Buckinghamshire
Shalstone,"'Shallow farm/settlement', ie a shallow place in the stream that runs through the parish. Alternatively, perhaps, '*Sceald's farm/settlement'.",Personal name (Old English) Old English - Personal name; sceald Old English - Shallow (especially of water).; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; Place-names of Buckinghamshire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Shenley,'Beautiful wood/clearing'.,"lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; scēne Old English",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Place-names of Buckinghamshire; E. Ekwall; Dictionary of English Place-Names
Sherington,'Farm/settlement connected with Scira'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; Place-names of Buckinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
