PlaceName,Etymology,Derivation,ReferenceTitle
South Biddick,'Beda's ditch'.,"dīc Old English - A ditch, usually an excavated trench, either defensive or for drainage of water.; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.
South Shields,'Temporary huts'. 'South' to distinguish from North Shields on the north bank of the River Tyne.,scheling Middle English - A shieling.,A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Southwick,'South specialised farm'.,"sūð Old English - South, southern.; wīc Old English - A dwelling; a building or collection of buildings for special purposes; a farm, a dairy farm; a trading or industrial settlement; or (in the plural) a hamlet, village.",A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.
Staindrop,'Stoney valley'.,"hop Old English - A valley; a remote enclosed space; a piece of enclosed land in a fen; an enclosure in marsh or moor.; stǣner Old English - Stony, rocky ground.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names
Stainton le Street,'Stone farm/settlement'. It is on the Roman road between Middleton St. George and Durham.,"stān Old English - A stone, stone, rock.; strēt Old English; tūn Old English - An enclosure; a farmstead; a village; an estate.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names
Stanhope,'Stone valley'.,"hop Old English - A valley; a remote enclosed space; a piece of enclosed land in a fen; an enclosure in marsh or moor.; stān Old English - A stone, stone, rock.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.
Stapleton,'Post/pillar farm/settlement'.,"stapol Old English - A post, a pillar.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Smith; Place-Names of the North Riding of Yorkshire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Stella,"'Standing-place wood/clearing', probably referring to a cattle shelter.","lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; stelling Old English",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.; A.D. Mills; Dictionary of English Place-Names
Stillington,'Farm/settlement connectd with Styfel/Styfela'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Stockley,'Tree-stump wood/clearing'.,"lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; stocc Old English - A tree-trunk, a stump, a log of wood, a stock (esp. in boundary marks or place-names that denote structures made of logs); a set of stocks as an engine of punishment.",Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Stockton on Tees,"'Farm/settlement associated with an outlying farm/settlement' or 'stock farm/settlement', i.e. enclosed, palisaded or log-built. It is on the River Tees. Stockton Ward takes its name from Stockton on Tees.","River-name Unknown - River-name; stoc Old English - A place, a secondary settlement.; stocc Old English - A tree-trunk, a stump, a log of wood, a stock (esp. in boundary marks or place-names that denote structures made of logs); a set of stocks as an engine of punishment.; tūn Old English - An enclosure; a farmstead; a village; an estate.; warde Middle English - A castle ward, the circuit of the castle wall; an area of jurisdiction in a town; the territory of a guard or watch.",Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.
Stranton,'Shore farm/settlement'.,"strand Old English - Land at the edge of a piece of water, esp. the sea; a shore, a bank.; tūn Old English - An enclosure; a farmstead; a village; an estate.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; Mawer; Place-names of Northumberland and Durham.
Streamlam and Stainton,'At the woods/clearings on the Roman road'. 'Stone farm/settlement'.,"lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; stān Old English - A stone, stone, rock.; strēt Old English; tūn Old English - An enclosure; a farmstead; a village; an estate.",Watts; Cambridge Dictionary of English Place-names; Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names
Summerhouse,'At the summer houses'.,sumor-hūs Old English - A summer residence.,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Watts; Dictionary of County Durham Place-names.; A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
Sunderland,"'Detached land', probably the territory south of the River Weare for which Benedict Biscop exchanged two silk robes on his return from Rome ca. 683. It may also be Bede's birthplace, but there is no conclusive evidence that he was born on this particular","sundor-land Old English - Land set apart for some special purpose, private land, detached land.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.; A.D. Mills; Dictionary of English Place-Names
Sunderland Bridge,"'Detached land'. It is a detached piece of St. Oswald's parish on the opposite bank of the River Weare, which the bridge crosses.","sundor-land Old English - Land set apart for some special purpose, private land, detached land.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.
Tanfield,'Open land on the River Team'.,"feld Old English - Open country, unencumbered ground (eg. land without trees as opposed to forest, level ground as opposed to hills, land without buildings); arable land (from late tenth century).; River-name Unknown - River-name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.
Thornley,'Thorn-tree mound/hill'.,hlāw Old English - A tumulus; a hill.; þorn Old English - A hawthorn-tree.,Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names
Thorpe Bulmer,'Outlying farm/settlement'. It was held by the Bulmer family.,"Family name Unknown - Family name.; þorp Old Norse - A secondary settlement, a dependent outlying farmstead or hamlet.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Watts; Dictionary of County Durham Place-names.; A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
Thrislington,'Thurstan's farm/settlement'.,Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Throston,'Thori's farm/settlement'.,Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
Throston Rural,'Thori's farm/settlement'.,Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Trimdon,'Wooden-cross hill'.,"dūn Old English - A hill.; mǣl Old English - A cross; a crucifix.; trēow Old English - A tree; a large piece of wood, a post, a beam.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.; A.D. Mills; Dictionary of English Place-Names
Tudhoe,'Tuda's hill-spur'.,hōh Old English - A heel; a sharply projecting piece of ground.; Personal name (Old English) Old English - Personal name,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.
Tunstall,'Farmstead'.,"tūn-stall Old English - The site of a farm, a farmstead.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Watts; Dictionary of County Durham Place-names.; A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
Urpeth,"'Bison path', ie., the extinct aurochs, L. Bos primigenius.",pæð Old English; ūr Old English - A bison.,Watts; Dictionary of County Durham Place-names.; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Usworth,'Osa's enclosure'.,Personal name (Old English) Old English - Personal name; worð Old English - An enclosure.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names; Watts; Dictionary of County Durham Place-names.
Wackerfield,"'Open land where osiers grow'. Alternatively, perhaps, 'Wacer's open land' or 'watcher's open land'.","feld Old English - Open country, unencumbered ground (eg. land without trees as opposed to forest, level ground as opposed to hills, land without buildings); arable land (from late tenth century).; wācor Old English - An osier, a willow twig, wicker.; wacu Old English - A watch, a wake.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names
Waldridge,'Wall ridge'.,hrycg Old English - A ridge.; wall Old English,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.
Walworth,'Britons' enclosure'.,walh Old English; worð Old English - An enclosure.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.; Watts; Cambridge Dictionary of English Place-names
Warden Law,"'Look-out hill'. It is often confused with the Warde Law (Wrdelau) from the legend of the founding of Durham, but existing forms of the name do not support this. The locaton of Warde Law remains unknown.","dūn Old English - A hill.; weard Old English - Watch, ward, protection.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.
Washington,Farm/settlement connected with *Hwaessa'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Watts; Dictionary of County Durham Place-names.; A.D. Mills; Dictionary of English Place-Names
Westerton,'Western farm/settlement'.,"tūn Old English - An enclosure; a farmstead; a village; an estate.; west Old English - Western, west.",Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Westwick,'West specialised farm'.,"west Old English - Western, west.; wīc Old English - A dwelling; a building or collection of buildings for special purposes; a farm, a dairy farm; a trading or industrial settlement; or (in the plural) a hamlet, village.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.
Whessoe,"'*Hwaessa's hill-spur' or perhaps, less likely on topographical grounds, is 'steep hill-spur'.","hōh Old English - A heel; a sharply projecting piece of ground.; hwæs Old English - Sharp, pointed, narrow.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
Whickham,'Quickset-hedge homestead/village'.,"cwic Old English - A quickset hedge.; hām Old English - A village, a village community, a manor, an estate, a homestead.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.
Whitburn,"'White barn' or perhaps, 'Hwita's burial mound'.","bere-ærn Old English - A barn, a storehouse for barley and other grain.; byrgen Old English - A burial place, a grave, a tumulus.; hwīt Old English - White; in early Modern English sometimes ""infertile"" in contrast with black, ""fertile"".",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.; A.D. Mills; Dictionary of English Place-Names
Whitburn,"'White barn'. Some forms show confusion with OE burna, 'stream'.","bere-ærn Old English - A barn, a storehouse for barley and other grain.; hwīt Old English - White; in early Modern English sometimes ""infertile"" in contrast with black, ""fertile"".",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Watts; Dictionary of County Durham Place-names.; Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names
Whitton,"'Hwita's farm/settlement' or 'Hwite's farm/settlement', a feminine personal name.",Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names
Whitwell House,'White spring/stream'.,"hwīt Old English - White; in early Modern English sometimes ""infertile"" in contrast with black, ""fertile"".; wella Old English",Watts; Dictionary of County Durham Place-names.; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names
Whitworth,"'Hwita's enclosure' or perhaps, 'Hwite's enclosure', a feminine personal name.",Personal name (Old English) Old English - Personal name; worð Old English - An enclosure.,Watts; Cambridge Dictionary of English Place-names; Watts; Dictionary of County Durham Place-names.; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
Willington,'Farm/settlement connected with *Wifel'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Watts; Dictionary of County Durham Place-names.; Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names
Windlestone,'*Windel's/Winel's valley' or '*Windel's/Winel's hill'.,denu Old English - A valley.; dūn Old English - A hill.; Personal name (Old English) Old English - Personal name,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names
Wingate,"'At the windy gaps', referring to a pass between Wheatley Hill and Deaf Hill.",wind-geat Old English - A windy gap.,A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names; Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names
Winlaton,'Winelac's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.
Witton Gilbert,'Wood farm/settlement'. It was the fee of Gilbert the Sheriff and then later granted to Gilbert de Leia by the Bishop Hugh de Puiset.,"tūn Old English - An enclosure; a farmstead; a village; an estate.; wudu Old English - A wood; or wood, timber.",Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.
Witton le Wear,'Wood farm/settlement' on the River Weare.,"River-name Unknown - River-name; tūn Old English - An enclosure; a farmstead; a village; an estate.; wudu Old English - A wood; or wood, timber.",E. Ekwall; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names
Wolsingham,"'Farm/settlement at Wolfsige's place', 'farm/settlement connected with Wolfsige' or perhaps, less likely, is 'Wolfsige's people'.","-ing Old English - Place-name forming suffix.; -ing- Old English - Connective particle, linking a first element to a final element.; -ingas Old English - The people of . . . ; the people called after . . .; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.",Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.
Wolviston,'Wulf's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Woodham,'At the woods'.,"wudu Old English - A wood; or wood, timber.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names
Woodland,"'Wood land'. Although sometimes thought to refer to agricultural land near or in a wood, it may also be used in the sense of land set aside to supply wood.","land Old English - Land (as part of earth's surface); an estate; possibly also new arable area.  In minor and field names: strip in a field-system.; wudu Old English - A wood; or wood, timber.",Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.
