PlaceName,Etymology,Derivation,ReferenceTitle
Stretham,"'Roman road homestead/village' or 'hemmed-in land on a Roman road'. The road, now called Akeman Street, runs from Arrington through Cambridge and Ely to Denver in Norfolk.","hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; strēt Old English",Watts; Cambridge Dictionary of English Place-names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Sutton,'South farm/settlement'.,"sūð Old English - South, southern.; tūn Old English - An enclosure; a farmstead; a village; an estate.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely
Swaffaham Prior,'Swabians' homestead village' or 'Swabians' hemmed-in land'. It was held by the Prior of Ely.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Swǣfe Old English - The Swabians.",Reaney; Place-names of Cambridgeshire and the Isle of Ely; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Swaffham Bulbeck,'Swabians' homestead village' or 'Swabians' hemmed-in land'. The de Bolebec family held land here.,"Family name Unknown - Family name.; hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Swǣfe Old English - The Swabians.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; A.D. Mills; Dictionary of English Place-Names
Swavesey,'*Swaef's landing place'.,hȳð Old English - A landing place on a river; an inland port.; Personal name (Old English) Old English - Personal name,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; A.D. Mills; Dictionary of English Place-Names
Tadlow,'*Tada's burial-mound/hill'.,hlāw Old English - A tumulus; a hill.; Personal name (Old English) Old English - Personal name,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely
Teversham,"Uncertain. '*Teofer's homestead/village' or perhaps, 'painter's/sorcerer's homestead/village' from an OE *teafrere (derived from OE teofor).","hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Personal name (Old English) Old English - Personal name; tēafor Old English - Red lead, vermilion.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely
Thorney,'Thorn-tree island'.,"ēg Old English - An island.  In ancient settlement-names, most frequently refers to dry ground surrounded by marsh.  Also used of islands in modern sense.  In late OE names: well-watered land.; þorn Old English - A hawthorn-tree.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; E. Ekwall; Dictionary of English Place-Names
Thriplow,"Possibly, '*T(h)ryppa's burial-mound'. The Bronze Age barrow just each of Thriplow parish church was probably the inspiration for the name. The meeting-place was probably 'Mutlowe' in the fields of Newton, from OE (ge)mot + hlaw, 'meeting mound/hill'.",hlāw Old English - A tumulus; a hill.; hundred Old English - One hundred; an administrative division of a county.; Personal name (Old English) Old English - Personal name,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Anderson (unspecified work); Reaney; Place-names of Cambridgeshire and the Isle of Ely; Watts; Cambridge Dictionary of English Place-names
Toft,"'Curtilage', a dwelling with a small courtyard or enclosed piece of land; land belonging to and including a dwelling.","toft Old English - A curtilage, the plot of ground in which a dwelling stands.",Reaney; Place-names of Cambridgeshire and the Isle of Ely; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
