PlaceName,Etymology,Derivation,ReferenceTitle
Bishopstone,'Bishop's farm/settlement'. It belonged to the bishops of Salisbury.,biscop Old English - A bishop.; tūn Old English - An enclosure; a farmstead; a village; an estate.,"Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gover, Mawer and Stenton, The Place-Names of Wiltshire"
Bishopstrow,"'Bishop's tree'. According to one legend, St. Aldhelm preached here and, placing his ash-wood pastoral staff in the ground, it miraculously multiplied into numerous ash-trees.","biscop Old English - A bishop.; trēow Old English - A tree; a large piece of wood, a post, a beam.","E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover, Mawer and Stenton, The Place-Names of Wiltshire; A.D. Mills; Dictionary of English Place-Names"
Blackland,'Black land'.,"blæc Old English - Black, dark-coloured, dark.; land Old English - Land (as part of earth's surface); an estate; possibly also new arable area.  In minor and field names: strip in a field-system.","E. Ekwall; Dictionary of English Place-Names; Gover, Mawer and Stenton, The Place-Names of Wiltshire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Blunsdon St Andrew,'*Blunt's hill'. The church is dedicated to St. Andrew.,dūn Old English - A hill.; Personal name (Old English) Old English - Personal name; Saint's Name Unknown - Saint's name.,"Watts; Cambridge Dictionary of English Place-names; Gover, Mawer and Stenton, The Place-Names of Wiltshire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names"
Boscombe,'Spiky plant valley'.,"bors Old English - Probably a spiky or bristly plant.; cumb Old English - A coomb, a valley.  Possibly derived from Welsh ""cumm""; but possibly derived from OE ""cumb"" a vessel, cup, a small measure.","Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Gover, Mawer and Stenton, The Place-Names of Wiltshire"
Bower Chalke,"'Chalk', with the 13th century addition of either 'peasant', 'cottage' or 'fortification'.","būr Old English - A cottage, a dwelling; a chamber, a private apartment; a secluded dwelling or place of resort.; burh Old English - A fortified place.; calc Old English","Gover, Mawer and Stenton, The Place-Names of Wiltshire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Bowood,'Above the wood'.,"bufan Old English - Above, over.; wudu Old English - A wood; or wood, timber.","A.D. Mills; Dictionary of English Place-Names; Gover, Mawer and Stenton, The Place-Names of Wiltshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names"
Box,'Box-tree'.,box Old English - A box-tree.,"A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gover, Mawer and Stenton, The Place-Names of Wiltshire"
Boyton,"Uncertain. Possibly, 'Boia's farm/settlement'. Alternatively, 'boy's farm/settlement', although the exact sense of this element in place-names is unclear.","boia Old English - A boy, a servant.; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.","A.D. Mills; Dictionary of English Place-Names; Gover, Mawer and Stenton, The Place-Names of Wiltshire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Bradford on Avon,'Broad ford' on the River Avon.,"brād Old English - Broad, spacious, wide, large.; ford Old English - A ford.","Gover, Mawer and Stenton, The Place-Names of Wiltshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names"
Braydon,"The etymology of the name is obscure, possibly pre-English. The present day parish was carved out of Cricklade in 1868.",Obscure element Unknown - Obscure element,"Gover, Mawer and Stenton, The Place-Names of Wiltshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names"
Bremhill,'Bramble'.,"brēmel Old English - A bramble, a blackberry bush.","Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gover, Mawer and Stenton, The Place-Names of Wiltshire"
Bremilham,'Bramble homestead/village' or 'brambly hemmed-in land'.,"brēmel Old English - A bramble, a blackberry bush.; hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.","E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gover, Mawer and Stenton, The Place-Names of Wiltshire; Watts; Cambridge Dictionary of English Place-names"
Brinkworth,"Probably, 'Brynca's enclosure'.",Personal name (Old English) Old English - Personal name; worð Old English - An enclosure.,"Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gover, Mawer and Stenton, The Place-Names of Wiltshire"
Britford,"Uncertain. 'Britons' ford' or perhaps, 'bride ford'. It has also been suggested that the first element could be a stream name, related to OE bryttian, 'to dispense, to divide', OE brytta, 'dispenser, giver, lord' or alternatively OE *bryd, 'surging'.",Brettas Old English - The Britons.; brȳd Old English - A bride.; ford Old English - A ford.,"A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Gover, Mawer and Stenton, The Place-Names of Wiltshire; Watts; Cambridge Dictionary of English Place-names"
Brixton Deverill,'Brihtric's farm/settlement on the River Deverill'.,Personal name (Old English) Old English - Personal name; River-name Unknown - River-name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"Gover, Mawer and Stenton, The Place-Names of Wiltshire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names"
Broad Chalke,'Broad chalk'.,"brād Old English - Broad, spacious, wide, large.; calc Old English","E. Ekwall; Dictionary of English Place-Names; Gover, Mawer and Stenton, The Place-Names of Wiltshire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Broad Hinton,'High farm/settlement'. 'Broad' to distinguish from Great Hinton and Little Hinton.,"brād Old English - Broad, spacious, wide, large.; hēah Old English - A high place, a height.; tūn Old English - An enclosure; a farmstead; a village; an estate.","Gover, Mawer and Stenton, The Place-Names of Wiltshire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names"
Broad Town,'Large farm/settlement'.,"brād Old English - Broad, spacious, wide, large.; tūn Old English - An enclosure; a farmstead; a village; an estate.","Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Gover, Mawer and Stenton, The Place-Names of Wiltshire"
Brokenborough,'Broken barrow'.,"berg Old English; brocen Old English - Broken, broken up, uneven.","Gover, Mawer and Stenton, The Place-Names of Wiltshire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names"
Bromham,'Broom homestead/village' or 'broomy hemmed-in land'.,"brōm Old English - Broom; a thorny bush or shrub.; hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.","E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover, Mawer and Stenton, The Place-Names of Wiltshire; A.D. Mills; Dictionary of English Place-Names"
Broughton Gifford,'Brook farm/settlement'. It was held by John Giffard in 1281.,"brōc Old English - A brook, a stream.  (Used of a stream with a muddy bed and a visible sediment load.); Family name Unknown - Family name.; tūn Old English - An enclosure; a farmstead; a village; an estate.","A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Gover, Mawer and Stenton, The Place-Names of Wiltshire; Watts; Cambridge Dictionary of English Place-names"
Bulford,"'Ragged robin/cuckoo-flower island ford'. Both are common names for L. Lychnis floscuculi, but 'cuckoo flower' is applied locally to several other genera and species.","bulut Old English - The ragged robin, the cuckoo flower.; ford Old English - A ford.; īeg Old English","A.D. Mills; Dictionary of English Place-Names; Gover, Mawer and Stenton, The Place-Names of Wiltshire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Bulkington,'Farm/settlement connected with *Bulca'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name","Gover, Mawer and Stenton, The Place-Names of Wiltshire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names"
Burbage,"Uncertain. 'Fortification stream' or perhaps, 'fortification ridge'.","bæc Old English - A back; used topographically of a ridge, varying from a low ridge in marshy ground to a steep escarpment.; bǣce Old English - A beach.; burh Old English - A fortified place.","Watts; Cambridge Dictionary of English Place-names; Gover, Mawer and Stenton, The Place-Names of Wiltshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names"
Burcombe Without,"Possibly,'*Bryda's valley'.","cumb Old English - A coomb, a valley.  Possibly derived from Welsh ""cumm""; but possibly derived from OE ""cumb"" a vessel, cup, a small measure.; Personal name (Old English) Old English - Personal name","E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gover, Mawer and Stenton, The Place-Names of Wiltshire; Watts; Cambridge Dictionary of English Place-names"
Buttermere,"'Butter lake', either in the sense of being surrounded by rich pasture or in reference to the colour of the water.","butere Old English - Butter.; mere Old English - A pond, a pool, a lake.","Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gover, Mawer and Stenton, The Place-Names of Wiltshire"
Calne,Named after the River Calne.,River-name Unknown - River-name,"Gover, Mawer and Stenton, The Place-Names of Wiltshire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names"
