PlaceName,Etymology,Derivation,ReferenceTitle
Weddicar,'Weedy field'.,"æcer Old English - A plot of cultivated land; a measure of land which a yoke of oxen could plough in a day. (Indistinguishable from akr.); wēod Old English - A weed; a herb, grass.",Watts; Cambridge Dictionary of English Place-names; Armstrong et al.; Place-names of Cumberland; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Westlinton,'Farm/settlement on the River Lyne'.,River-name Unknown - River-name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Armstrong et al.; Place-names of Cumberland
Westnewton,'New farm'.,nīwe Old English - New.; tūn Old English - An enclosure; a farmstead; a village; an estate.,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Armstrong et al.; Place-names of Cumberland; A.D. Mills; Dictionary of English Place-Names
Westward,"'West division', referring to the west division of the king's forest of Inglewood.","warde Middle English - A castle ward, the circuit of the castle wall; an area of jurisdiction in a town; the territory of a guard or watch.; west Old English - Western, west.",A.D. Mills; Dictionary of English Place-Names; Armstrong et al.; Place-names of Cumberland; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Wetheral,'Nook of land where wethers are kept'.,"halh Old English - A nook of land; a small valley; dry ground in marsh; a piece of land projecting from, or detached from, the main area of its administrative unit.; weðer Old English - A castrated ram, a wether.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Armstrong et al.; Place-names of Cumberland
Whicham,"Homestead/village at Hwiting (= place connected with Hwita)' or perhaps, 'homestead/village of Hwita's people'.","-ing Old English - Place-name forming suffix.; -ingahām Old English - The village of the people of . . . ; the village of the people called after . . .; hām Old English - A village, a village community, a manor, an estate, a homestead.; Personal name (Old English) Old English - Personal name; Tribal-Name Unknown - Tribal-name.",A.D. Mills; Dictionary of English Place-Names; Armstrong et al.; Place-names of Cumberland; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Whinfell,'Gorse/whin mountain'.,"fjall Old Norse - A mountain.; whin Middle English - Whin, gorse.",Watts; Cambridge Dictionary of English Place-names; Armstrong et al.; Place-names of Cumberland; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Whitbeck,'White stream'.,"bekkr Old Norse - A stream, a beck.; hvítr Old Norse - White.",A.D. Mills; Dictionary of English Place-Names; Armstrong et al.; Place-names of Cumberland; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Whitehaven,'White-head harbour'.,"hafn Old Norse - A haven, a harbour.; hǫfuð Old Norse - A head; a headland, promontory.; hvítr Old Norse - White.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Armstrong et al.; Place-names of Cumberland
Wigton,'Wicga's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Armstrong et al.; Place-names of Cumberland
Winscales,'Windy shielings'.,skáli Old Norse; wind Old English - Wind.,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Armstrong et al.; Place-names of Cumberland
Woodside Quarter,'Wood side'.,"sīde Middle English - A side; the land extending alongside a river or lake, the edge of a wood or village.; wudu Old English - A wood; or wood, timber.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Armstrong et al.; Place-names of Cumberland
Workington,'Farm/settlement connected with Wyrc/*Weorc'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Armstrong et al.; Place-names of Cumberland; A.D. Mills; Dictionary of English Place-Names
Wreay,'Secluded nook'.,"vrá Old Norse - A nook, a corner of land.",E. Ekwall; Dictionary of English Place-Names; Armstrong et al.; Place-names of Cumberland; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Wythop,'Willow-tree valley'.,hop Old English - A valley; a remote enclosed space; a piece of enclosed land in a fen; an enclosure in marsh or moor.; wīðig Old English - A willow-tree; a withy.,Armstrong et al.; Place-names of Cumberland; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Yanwath and Eamont Bridge,'Level wood'.,"ēa-mōt Old English - Rivers' meet, a confluence.; jafn Old Norse - Even, level.; viðr Old Norse - A wood; or a tree, a tree-trunk.",A.D. Mills; Dictionary of English Place-Names; Smith; Place-names of Westmorland; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
