PlaceName,Etymology,Derivation,ReferenceTitle
Ruston Parva,'*Hror's farm/settlement' or '*Roarr's farm/settlement'. 'Little' to distinguish from Long Riston.,parva Latin - Small.; Personal name (Old English) Old English - Personal name; Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Smith; Place-names of the East Riding of Yorkshire; Watts; Cambridge Dictionary of English Place-names
Ryhill and Camerton,"'Rye hill'. Uncertain. An obscure first element with 'farm/settlement'. For tentative solutions cf. Cammeringham, Lincolnshire and Camberwell, Somerset.","hyll Old English - A hill, a natural eminence or elevated piece of ground.; Obscure element Unknown - Obscure element; ryge Old English - Rye.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Watts; Cambridge Dictionary of English Place-names; Smith; Place-names of the East Riding of Yorkshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Saltmarshe,'Salty marsh' or 'brackish marsh'.,mersc Old English - A marsh.; salt Old English,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Smith; Place-names of the East Riding of Yorkshire
Sancton and Houghton,'Sand farm/settlement'. 'Hofa's farm/settlement' or 'ale-hoof farm/settlement'.,hōfe Old English - Ale-hoof (a herb).; Personal name (Old English) Old English - Personal name; sand Old English - Sand.; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Smith; Place-names of the East Riding of Yorkshire
Scagglethorpe,"'Skakull's/Skakli's outlying farm/settlement'. See entry for Scackleton, Yorkshire North Riding for alternative explanation.",Personal name (Old Norse) Old Norse - Personal name,Smith; Place-names of the East Riding of Yorkshire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Scalby,'Skalli's farm/settlement'.,"bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name",Watts; Cambridge Dictionary of English Place-names; Smith; Place-names of the East Riding of Yorkshire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Scampston,"'Skammr's farm/settlement', varying with its diminuitive form 'Skammel'. Alternatively, 'short farm/settlement'.",Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Smith; Place-names of the East Riding of Yorkshire; A.D. Mills; Dictionary of English Place-Names
Scorborough,'Wood shelter'.,búð Old Norse; skógr Old Norse - A wood.,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Smith; Place-names of the East Riding of Yorkshire
Scrayingham,"Uncertain. 'Homestead/village of *Scirheah's people' or 'homestead/village of Skrati's people'. Alternatively, 'homestead/village at/called *Scraeging (= structure of made of poles)'.","-ing Old English - Place-name forming suffix.; -ingas Old English - The people of . . . ; the people called after . . .; hām Old English - A village, a village community, a manor, an estate, a homestead.; Personal name (Old English) Old English - Personal name; Personal name (Old Norse) Old Norse - Personal name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Smith; Place-names of the East Riding of Yorkshire
Sculcoates,'Skuli's cottages'.,"cot Old English - A cottage, a hut, a shelter, a den.; Personal name (Old Norse) Old Norse - Personal name",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Smith; Place-names of the East Riding of Yorkshire; A.D. Mills; Dictionary of English Place-Names
