PlaceName,Etymology,Derivation,ReferenceTitle
Thurgarton,"'Thorgeirr's farm/settlement'. The north part of Thurgarton was a separate hundred called Lythe (see entry)until combined in the 13th century. In the 12th century the wapentake court was held at Iverishagh,","Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.; vápnatak Old Norse - A wapentake, a sub-division of a county.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Anderson (unspecified work); Gover et al.; The Place-Names of Nottinghamshire
Tithby,Village of a man called Tidhe.,"bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name",Gover et al.; The Place-Names of Nottinghamshire; E. Ekwall; Dictionary of English Place-Names
Tollerton,Farm of a man called Thorleifr.,Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Torworth,Enclosure of a man called Thorthr.,Personal name (Old Norse) Old Norse - Personal name; worð Old English - An enclosure.,E. Ekwall; Dictionary of English Place-Names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names
Toton,Farm of a man called Tofi.,Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,E. Ekwall; Dictionary of English Place-Names; Gover et al.; The Place-Names of Nottinghamshire
Treswell,Spring of a man called *Tir.,Personal name (Old English) Old English - Personal name; wella Old English,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Gover et al.; The Place-Names of Nottinghamshire
Trowell,Tree spring or stream.,"trēow Old English - A tree; a large piece of wood, a post, a beam.; wella Old English",Cameron; Dictionary of Lincolnshire Place-names; E. Ekwall; Dictionary of English Place-Names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names
Tuxford,"Perhaps, ford of a man called *Tuk, though the first element may altenatively be ME tuske 'tuft of rushes' (in an early form *tux).","ford Old English - A ford.; Personal name (Old Norse) Old Norse - Personal name; tusshe Middle English - A tuft, a tussock.",Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; E. Ekwall; Dictionary of English Place-Names
Upper Broughton,Farm by the brook.,"brōc Old English - A brook, a stream.  (Used of a stream with a muddy bed and a visible sediment load.); tūn Old English - An enclosure; a farmstead; a village; an estate.",E. Ekwall; Dictionary of English Place-Names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names
Upton,Higher farm.,"tūn Old English - An enclosure; a farmstead; a village; an estate.; upp Old English - Up, higher up, upon.",E. Ekwall; Dictionary of English Place-Names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names
Walesby,Farm of a man called Valr.,"bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name",E. Ekwall; Dictionary of English Place-Names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names
Walkeringham,"Probably, village of the people of a man called Walhhere.","-ingas Old English - The people of . . . ; the people called after . . .; hām Old English - A village, a village community, a manor, an estate, a homestead.; Personal name (Old English) Old English - Personal name",Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Walkerith,'Fullers' landing place'.,"hȳð Old English - A landing place on a river; an inland port.; walcere Old English - A cloth-dresser, a fuller.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cameon et al.; Place-names of Lincolnshire; Cameron; Dictionary of Lincolnshire Place-names
Wallingwells,Welling or bubbling spring(s).,"wallen Middle English - welling, bubbling; wella Old English",Gover et al.; The Place-Names of Nottinghamshire; Cameron; Dictionary of Lincolnshire Place-names; E. Ekwall; Dictionary of English Place-Names
Warsop,Valley of a man called *Waer.,hop Old English - A valley; a remote enclosed space; a piece of enclosed land in a fen; an enclosure in marsh or moor.; Personal name (Old English) Old English - Personal name,E. Ekwall; Dictionary of English Place-Names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names
Welbeck,"Perhaps an originally simplex name OE wella 'spring, stream', with (more or less) tautologous ON bekkr added later.","bekkr Old Norse - A stream, a beck.; wella Old English",Gover et al.; The Place-Names of Nottinghamshire; E. Ekwall; Dictionary of English Place-Names
Wellow,Enclosure near a spring or stream.,"haga Old English - A hedge; an enclosure; later a messuage, property.; wella Old English",Cameron; Dictionary of Lincolnshire Place-names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
