PlaceName,Etymology,Derivation,ReferenceTitle
Tealby,"'Farm/settlement of the *Taflas /*Taeflas', an tribe from East Germany recorded in Britain by the 5th century.","bȳ Old Norse - A farmstead, a village.; Tribal-Name Unknown - Tribal-name.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cameon et al.; Place-names of Lincolnshire; Cameron; Dictionary of Lincolnshire Place-names
Temple Brewer with Temple High Grange,'Heathland'. 'Temple' because of the Preceptory of the Knights Templars founded here at the beginning of Henry II's reign. Obscure.,"bruiere Old French - Heath, heathland.; Obscure element Unknown - Obscure element; temple Middle English - A temple; usually in allusion to properties of the Knights Templar.",Cameron; Dictionary of Lincolnshire Place-names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Cameon et al.; Place-names of Lincolnshire
Tetford,'Peoples' ford'.,"ford Old English - A ford.; þēod Old English - People, a tribe, a region.",Cameron; Dictionary of Lincolnshire Place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Cameon et al.; Place-names of Lincolnshire
Tetney,'Taeta's/Taete's island'.,"ēg Old English - An island.  In ancient settlement-names, most frequently refers to dry ground surrounded by marsh.  Also used of islands in modern sense.  In late OE names: well-watered land.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; Cameon et al.; Place-names of Lincolnshire; Cameron; Dictionary of Lincolnshire Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Theddlethorpe All Saints ans St. Helen,'*Theodlac's outlying farm/settlement'.,"Personal name (Old English) Old English - Personal name; Saint's Name Unknown - Saint's name.; þorp Old Norse - A secondary settlement, a dependent outlying farmstead or hamlet.",E. Ekwall; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; Cameon et al.; Place-names of Lincolnshire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Thimbleby,"'*Thymill's/ *Thymli's farm/settlement'. An alternative suggestion is 'thimble farm/settlement', referring to the long, thin ridge on which the village is situated.","bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name; thymel Old English - A thimble.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cameon et al.; Place-names of Lincolnshire; A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names
Thoresway,'Thorir's road'. Alternatively 'Thor's shrine'.,Personal name (Old Norse) Old Norse - Personal name; Thor Old Norse - The heathen god Thor.; weg Old English - A road.,Cameron; Dictionary of Lincolnshire Place-names; Watts; Cambridge Dictionary of English Place-names; Cameon et al.; Place-names of Lincolnshire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Thorganby,'Thorgrimr's farm/settlement'.,"bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name",Cameron; Dictionary of Lincolnshire Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Cameon et al.; Place-names of Lincolnshire; Watts; Cambridge Dictionary of English Place-names
Thornton,'Thorn-tree farm/settlement'.,tūn Old English - An enclosure; a farmstead; a village; an estate.; þorn Old English - A hawthorn-tree.,E. Ekwall; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; A.D. Mills; Dictionary of English Place-Names; Cameon et al.; Place-names of Lincolnshire; Watts; Cambridge Dictionary of English Place-names
Thornton Curtis,'Thorn-tree farm/settlement'. The origins and significance of the affix 'Curtis' are uncertain.,Family name Unknown - Family name.; tūn Old English - An enclosure; a farmstead; a village; an estate.; þorn Old English - A hawthorn-tree.,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cameron; Dictionary of Lincolnshire Place-names; Cameon et al.; Place-names of Lincolnshire; A.D. Mills; Dictionary of English Place-Names
