PlaceName,Etymology,Derivation,ReferenceTitle
Epsom,'Ebbe's/Ebbi's homestead/village' or 'Ebbe's/Ebbi's hemmed-in land'.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Personal name (Old English) Old English - Personal name",Gover et al.; Place-names of Surrey; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Esher,"'Ash-tree district'. The precise meaning of the second element is difficult to determine, but it probably denoted a share in common land, in this case, one growing with ash-trees.","æsc Old English; scearu Old English - A share, a division.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Surrey
Ewell,"'Water-source', referring to a source of the Hogs Mill River.",ǣwell Old English,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Surrey; A.D. Mills; Dictionary of English Place-Names
Ewhurst,'Yew-tree wooded-hill'.,hyrst Old English - A wooded hill.; īw Old English - A yew-tree.,Gover et al.; Place-names of Surrey; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Farleigh,'Ferny wood/clearing'.,"fearn Old English - A fern; ferns; a ferny place.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Surrey
Farnham,"Probably, 'ferny hemmed-in land'. The hundred court was called 'Farnham Blackheath' and held at the present day Lawday House. The name 'Blackheath' is preserved in 'Heath End', which is near to Lawday House.","fearn Old English - A fern; ferns; a ferny place.; hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; hundred Old English - One hundred; an administrative division of a county.",Anderson (unspecified work); Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Surrey
Fetcham,'*Fecca's/Fecce's homestead/village'.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Surrey
Frensham,"'*Fremi's homestead/village'. The exact form of the personal name is uncertain. 'Freomund', '*Feorhmund' and Fram have also been suggested. The latter name is attested as that of a moneyer and is well-evidence on the Continent.","hām Old English - A village, a village community, a manor, an estate, a homestead.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Surrey
Frimley,'*Frem(m)a's wood/clearing'.,"lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",Gover et al.; Place-names of Surrey; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Gatton,'Goat farm/settlement'.,gāt Old English - A goat.; tūn Old English - An enclosure; a farmstead; a village; an estate.,E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Surrey; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
