Id,Element,Language,Meaning,Frequency
1,byden,Old English,"A vessel, a tub, a butt",7
2,used topographically of a hollow.,Modern English,,11
3,ford,Old English,A ford.,565
4,Personal,name (Old English) Old English,Personal name,3792
5,ǣmette,Old English,An ant.,1
6,hyll,Old English,"A hill, a natural eminence or elevated piece of ground.",220
7,ēg,Old English,"An island.  In ancient settlement-names, most frequently refers to dry ground surrounded by marsh.  Also used of islands in modern sense.  In late OE names: well-watered land.",165
8,æspe Old English,Modern English,,8
9,Family,name Unknown,Family name.,623
10,lēah,Old English,"A forest, wood, glade, clearing",919
11,"(later) a pasture, meadow.",Modern English,,919
12,ēast,Old English,"Eastern, east.",150
13,wīc,Old English,A dwelling,223
14,a building or collection of buildings for special purposes,Modern English,,223
15,"a farm, a dairy farm",Modern English,,223
16,a trading or industrial settlement,Modern English,,223
17,"or (in the plural) a hamlet, village.",Modern English,,223
18,bere-tūn,Old English,"A barley enclosure, a barley farm",34
19,"later a demesne farm, an outlying grange.",Modern English,,34
20,dūn,Old English,A hill.,397
21,hām,Old English,"A village, a village community, a manor, an estate, a homestead.",680
22,hamm,Old English,Land hemmed in by water or marsh (perhaps also by high ground),378
23,a river-meadow,Modern English,,378
24,cultivated plot on the edge of woodland or moor.,Modern English,,378
25,wæd,Old English,A ford.,8
26,hōh,Old English,A heel,150
27,a sharply projecting piece of ground.,Modern English,,150
28,bula,Old English,A bull.,13
29,hyrst,Old English,A wooded hill.,72
30,brēmel,Old English,"A bramble, a blackberry bush.",6
31,brōm,Old English,Broom,75
32,a thorny bush or shrub.,Modern English,,75
33,River-name,Unknown,River-name,647
34,tūn,Old English,An enclosure,3127
35,a farmstead,Modern English,,3127
36,a village,Modern English,,3127
37,an estate.,Modern English,,3127
38,-ingtūn,Old English,"A settlement called after, or connected with . . .",376
39,ceorl,Old English,"A freeman of the lower class, a peasant.",49
40,calc Old English,Modern English,,12
41,græf,Old English,"A digging, a grave, a pit, a trench.",14
42,sand,Old English,Sand.,48
43,clopp,Old English,"A lump, a hillock, a hill.",11
44,clif,Old English,"An escarpment, a hill-slope",87
45,a river-bank.,Modern English,,87
46,hætt,Old English,A hat,5
47,topographically a hill thought to rememble a hat.,Modern English,,5
48,worð,Old English,An enclosure.,251
