Id,Element,Language,Meaning,Frequency
49,-ing-,Old English,"Connective particle, linking a first element to a final element.",214
50,Personal,name (Uncertain) Unknown,Personal name,1
51,cocc,Old English,A heap,17
52,a hillock.,Modern English,,18
53,pōl,Old English,A pool.,44
54,cran,Old English,A crane,19
55,probably also a heron or similar bird.,Modern English,,19
56,cranuc,Old English,A crane (the bird).,2
57,feld,Old English,"Open country, unencumbered ground (eg. land without trees as opposed to forest, level ground as opposed to hills, land without buildings)",280
58,arable land (from late tenth century).,Modern English,,280
59,stapol,Old English,"A post, a pillar.",29
60,cot,Old English,"A cottage, a hut, a shelter, a den.",158
61,cum,Latin,With.,3
62,ēa,Old English,A river.,49
63,sōcn,Old English,"The exercise of judicial power, jurisdiction, the district over which a right of jurisdiction was exercised, an estate.",5
64,stōw,Old English,A place,55
65,a place of assembly,Modern English,,55
66,a holy place.,Modern English,,55
67,eofor,Old English,A wild boar.,15
68,holt,Old English,A wood. (Probably of a single species.),27
69,fealu,Old English,"Fallow, pale brown or reddish yellow.",10
70,mere,Old English,"A pond, a pool, a lake.",125
71,flēot,Old English,"An estuary, an inlet of the sea, a small stream.",33
72,fliten,Middle English,Disputed.,1
73,grāfa,Old English,A coppice.,3
74,grafa,Old English,"A trench, a ditch.",5
75,bere,Old English,Barley.,16
76,-ingas,Old English,The people of . . .,492
77,the people called after . . .,Modern English,,492
78,hær,Old English,"A rock, a heap of stones, a tumulus.",16
79,hār,Old English,"Grey, hoar, especially grey through being overgrown with lichen.",24
80,wald Old English,Modern English,,63
81,hægen,Old English,An enclosure,3
82,a park.,Modern English,,3
83,hǣð,Old English,Heather,62
84,a tract of uncultivated land.,Modern English,,62
85,rǣc,Old English,A raised straight strip. (Uncertain),1
86,hēah,Old English,"A high place, a height.",112
87,henn,Old English,A hen. (Usually taken to be a wild hen or water-hen in place-names,11
88,perhaps also a domestic hen.),Modern English,,11
89,hlāw,Old English,A tumulus,88
90,a hill.,Modern English,,90
91,hol,Old English,"A hole, a hollow.",51
92,rex,Latin,A king.,15
93,burna,Old English,A stream.,195
94,crāwe,Old English,A crow.,22
95,hyse,Old English,"A son, a youth",5
96,"a shoot, a tendril.",Modern English,,5
97,hīd,Old English,A hide of land,32
98,an amount of land for the support of one free family and its dependants,Modern English,,32
99,a unit of valuation.,Modern English,,32
100,camm C,Modern English,,2
101,cǣg,Old English,A key,8
102,perhaps used topographically of hills.,Modern English,,8
103,Place-name,Unknown,Place-name,334
104,-ing,Old English,Place-name forming suffix.,254
105,cnotta,Old English,A knot.,3
106,lang,Old English,"Long, tall.",124
107,grāf,Old English,"A grove, a copse.",47
108,lēoht,Old English,"Light, bright, light-coloured. (Used substantively of a light place.)",3
109,lēac-tūn,Old English,A leek enclosure,16
110,a herb garden.,Modern English,,16
111,burh,Old English,A fortified place.,357
112,berc Old English,Modern English,,11
113,parva,Latin,Small.,115
114,stoc,Old English,"A place, a secondary settlement.",143
115,hēafod,Old English,A head,39
116,an end or source,Modern English,,39
117,headland in a field-system,Modern English,,39
118,a projecting piece of ground,Modern English,,39
119,a hill (often small).,Modern English,,39
120,mǣnnes,Old English,A community,3
121,"common land, a common holding.",Modern English,,3
122,mann,Old English,A person,2
123,or (in the plural) community.,Modern English,,5
124,mersc,Old English,A marsh.,72
125,mǣl,Old English,A cross,2
126,a crucifix.,Modern English,,2
127,melce Old English,Modern English,,1
128,halh,Old English,A nook of land,272
129,a small valley,Modern English,,272
130,dry ground in marsh,Modern English,,272
131,"a piece of land projecting from, or detached from, the main area of its administrative unit.",Modern English,,272
132,mapel,Old English,A maple-tree.,5
133,trēow,Old English,A tree,49
134,"a large piece of wood, a post, a beam.",Modern English,,51
135,brōc,Old English,"A brook, a stream.  (Used of a stream with a muddy bed and a visible sediment load.)",114
136,myln,Old English,A mill.,53
137,middel,Old English,Middle.,81
138,hangra,Old English,A sloping wood.  (Used in settlement-names of a gentle rather than steep slope.),15
139,mokerer,Middle English,One who accumulates or hoards wealth,1
140,a miser.,Modern English,,1
141,norð,Old English,"Northern, north.",112
142,Tribal-Name,Unknown,Tribal-name.,30
143,āc,Old English,An oak-tree.,81
144,wād,Old English,Woad.,3
145,ald Old English,Modern English,,47
146,weard,Old English,"Watch, ward, protection.",24
147,pott,Old English,A pot.,5
148,denu,Old English,A valley.,199
149,hræfn,Old English,A raven.,15
150,rā,Old English,"A roe, a roe-buck.",5
151,mont,Middle English,"A mount, a hill.",8
152,rouge,Old French,Red.,1
153,hrīs,Old English,"Shrubs, brushwood.",19
154,hrōc,Old English,A rook.,11
155,salh Old English,Modern English,,21
156,scearn,Old English,"Dung, muck.",9
157,scēp Old English,Modern English,,37
158,heorde-wīc,Old English,A herd farm.,14
159,scelf,Old English,"A shelf, a shelving terrain",42
160,"a pinnacle, battlement.",Modern English,,42
161,scyttels,Old English,"A bolt, a bar",6
162,a gate which bolts shut.,Modern English,,6
163,sulh,Old English,A plough,13
164,a ploughland (i.e. the amount of land which can be cultivated with one plough).,Modern English,,13
165,þrop,Old English,"A hamlet, an outlying farm.",17
166,sūð,Old English,"South, southern.",126
167,staca,Old English,A stake.,3
168,brycg,Old English,A bridge,86
169,a causeway.,Modern English,,86
170,stān,Old English,"A stone, stone, rock.",248
171,stēap,Old English,"Steep, precipitous.",6
172,styfic,Old English,A stump.,11
173,stōd,Old English,"A stud, a herd of horses.",14
174,stoppa,Old English,"A pail, a bucket",2
175,topographically a hollow.,Modern English,,6
176,stōd-fald,Old English,"A stud-fold, a horse-enclosure.",5
177,strēt Old English,Modern English,,66
178,swīn,Old English,"A swine, a pig.",28
179,æt,Old English,At: the common preposition of location in place-names.,3
180,þǣre,Old English,the'.,2
181,þȳfel,Old English,"A bush, a thicket.",2
182,rīð,Old English,A small stream.,14
183,þing,Old English,"An assembly, a council, a meeting.",5
184,ærn,Old English,"A building, a house.  In place-names often a building used for a specific purpose.",26
185,tōt,Old English,A look-out.,12
186,turf,Old English,"Turf, greensward.",2
187,west,Old English,"Western, west.",163
188,snǣd,Old English,"Something cut off, a fragment, a detaced piece of ground.",2
189,wīl,Old English,"A wile, a trick",2
190,"used of a gin, a trap, a snare.",Modern English,,2
191,wilde,Old English,Wild,8
192,untamed or undomesticated (animal),Modern English,,8
193,uncultivated or desolate (land).,Modern English,,8
194,wilig Old English,Modern English,,29
195,wilign,Old English,A willow-tree,5
196,a willow copse.,Modern English,,5
197,hām-stede,Old English,"A homestead, the site of a dwelling.",29
198,wōh,Old English,"Twisted, crooked.",7
199,croft,Old English,A small enclosed field.,23
200,wudu,Old English,A wood,242
201,"or wood, timber.",Modern English,,242
202,wræstan,Old English,To wrestle.,1
203,Tribal-Name,Old English,Tribal name.,1
204,Saint's,Name Unknown,Saint's name.,336
205,aldormann Old English,Modern English,,2
206,æppel Old English,Modern English,,9
207,æppel-tūn,Old English,An orchard.,7
208,eorð-burg,Old English,"An earth-work, a fortification built of earth.",3
209,æsc Old English,Modern English,,124
210,upp,Old English,"Up, higher up, upon.",57
211,bæð,Old English,"A bath, a bathing-place.",6
212,bēce,Old English,A beech-tree.,5
213,bēan,Old English,A bean.,15
214,beonet,Old English,Bent grass.,14
215,blēo,Old English,Blue,2
216,"probably also coloured, variegated.",Modern English,,2
217,burh-tūn,Old English,A fort enclosure,46
218,a farm with a palisade,Modern English,,46
219,"a farm at, or belonging to, or which is, a fortification, fortified house, or manorhouse.",Modern English,,46
220,box,Old English,A box-tree.,8
221,ōra,Old English,"A shore, hill-slope",39
222,possibly also the foot of a slope.  (Used in place-names only in the parts of southern England where Jutish and West Saxon dialects were operative.),Modern English,,39
223,brād,Old English,"Broad, spacious, wide, large.",90
224,bray,Old French,Mud.,1
225,beorht,Old English,"Bright, clear.",7
226,wella Old English,Modern English,,272
227,bōc-land,Old English,Land granted by charter.,22
228,berg Old English,Modern English,,124
229,burh-weard,Old English,A town guardian.,5
230,catt,Old English,"A cat, probably both wild and domestic.",7
231,cild,Old English,"A child, a young person, a boy, a son.",26
232,īeg Old English,Modern English,,17
233,cumb,Old English,"A coomb, a valley.  Possibly derived from Welsh ""cumm",179
234,"but possibly derived from OE ""cumb"" a vessel, cup, a small measure.",Modern English,,179
235,cōc,Old English,A hill.,1
236,dræg,Old English,"A drag, a portage, a slip-way",25
237,"a dray, a sled.",Modern English,,25
238,mōr,Old English,"A marsh, barren upland.",143
239,ēar,Old English,"Gravel, mud, earth.",7
240,earn,Old English,An eagle.,14
241,hana,Old English,A cock.,11
242,lāc,Old English,"Play, sport.",1
243,Personal,name (Old Norse) Old Norse,Personal name,1
244,geat,Old English,"A hole, an opening, a gap, a pass, a passage",42
245,a gate(way).,Modern English,,42
246,Ēadgifu,Old English,Feminine personal-name.,1
247,ened,Old English,A duck.,6
248,Engle,Old English,"The Angles, later the English.",7
249,fearn,Old English,A fern,55
250,ferns,Modern English,,55
251,a ferny place.,Modern English,,55
252,finc,Old English,A finch.,3
253,fīf,Old English,Five.,15
254,gāra,Old English,"A gore, a triangular plot of ground, a point of land.       (Ultimately derived from OE gar, ""spear"", meaning a piece of ground shaped like the head of a spear.)",18
255,gōs,Old English,A goose.,8
256,grǣg,Old English,Grey.,3
257,sol,Old English,A muddy place,1
258,a wallowing place for animals.,Modern English,,1
259,magna,Latin,"Big, great.",117
260,grēne,Old English,"Green, grass-grown.",41
261,grǣfe,Old English,"A grove, a copse, a thicket.",18
262,hungor,Old English,"Hunger, famine. (Usually an allusion to barren ground.)",3
263,hyrne Old English,Modern English,,4
264,gīfete,Old English,"A plover, or similar bird.",1
265,ing,Old English,"A hill, a peak.",4
266,penn C,Modern English,,29
267,penn,Old English,"A small enclosure, a fold",15
268,later an enclosure for animals.,Modern English,,15
269,cyning,Old English,A king.,71
270,lamb,Old English,A lamb.,11
271,lēac,Old English,"A leek, garlic.",8
272,līn,Old English,Flax.,22
273,hȳð,Old English,A landing place on a river,25
274,an inland port.,Modern English,,25
275,mægden,Old English,A maiden.,8
276,merece,Old English,"Wild celery, smallage.",2
277,mycg,Old English,"A midge, a gnat.",3
278,windels,Old English,"A winding-gear, a winch, a windlass.",4
279,nīwe,Old English,New.,203
280,land,Old English,Land (as part of earth's surface),110
281,an estate,Modern English,,114
282,possibly also new arable area.  In minor and field names: strip in a field-system.,Modern English,,110
283,hengest,Old English,"A horse, a stallion, a gelding.",5
284,pise,Old English,Pease.,4
285,pūr,Old English,"A bittern, a snipe.",2
286,rēad,Old English,Red.,32
287,rima,Old English,"A rim, an edge, a border",7
288,"used of the edge of a river, hill, etc., or a boundary.",Modern English,,7
289,camp,Old English,"A field, an enclosed piece of land.",10
290,sceaga,Old English,A small wood.,19
291,sceota,Old English,A trout.,1
292,scrifen,Old English,Allotted.,1
293,spearr,Old English,"A spar, a shaft, a rafter.",5
294,spere,Old English,"A spear, a spear-shaft",2
295,used in place-names in allusion to woods where such shafts were obtained.,Modern English,,2
296,spōn,Old English,"A chip, a shaving of wood",2
297,perhaps also a wooden shingle tile.,Modern English,,2
298,strāt,Old English,"A Roman road. (May be a form of ""stret"").",8
299,abbas,Latin,An abbot.,24
300,þæc,Old English,"Thatch, material for thatching, a thatched roof.",3
301,þel,Old English,"A board, a plank.",4
302,þēod,Old English,"People, a tribe, a region.",4
303,tigel,Old English,A tile.,1
304,twī-,Old English,"Double, two.",15
305,wer,Old English,"A weir, a river-dam",14
306,a fishing-enlosure in a river.,Modern English,,14
307,Obscure,element Unknown,Obscure element,155
308,hæg,Old English,"A fence, an enclosure.",42
309,wīd,Old English,"Wide, spacious.",16
310,wisc,Old English,A marshy meadow.,10
311,ersc,Old English,"A ploughed field, especially newly broken-in land.",6
312,winn,Old English,A pasture.,16
313,winter,Old English,Winter.,24
314,wēoh,Old English,Holy.,12
315,wiht,Old English,A bend.,11
316,ācen,Old English,"Oaken: growing with oak-trees, or made of oak.",1
317,æscen,Old English,Growing with ash-trees,3
318,ashen,Modern English,,3
319,made of ash.,Modern English,,3
320,hundred,Old English,One hundred,232
321,an administrative division of a county.,Modern English,,232
322,bǣce,Old English,A beach.,20
323,hǣme,Old English,The inhabitants of a place.,20
324,hām-tūn,Old English,A home farm.,25
325,bēacen,Old English,"A sign, a signal, a beacon.",1
326,bytle,Old English,"A building, a house.",4
327,stall Old English,Modern English,,6
328,bōðl,Old English,"A dwelling, a dwelling-place, a house.",26
329,clǣgig,Old English,Clayey.,7
330,bufan,Old English,"Above, over.",7
331,brig C,Modern English,,4
332,Personal,name (Uncertain) Unknown,Personal name,1
333,breg C,Modern English,,14
334,calf Old English,Modern English,,25
335,castel,Old English,A defensive building,27
336,a village.,Modern English,,27
337,cēping Old English,Modern English,,9
338,funta,Old English,A spring.,17
339,Personal,name (Uncertain) Unknown,Personal name,1
340,carn C,Modern English,,4
341,cyte,Old English,A cottage,5
342,a hermit's or monk's cell.,Modern English,,5
343,ceastel,Old English,A heap.,3
344,Personal,name (Uncertain) Unknown,Personal name,1
345,cē¸d C,Modern English,,30
346,-ware,Old English,Dwellers.,8
347,brægen,Old English,"A brain, the crown of the head",4
348,topographically a hill.,Modern English,,12
349,cald Old English,Modern English,,39
350,coll,Old English,A hill.,5
351,cærse,Old English,"Cress, water-cress.",11
352,dora,Old English,A humble-bee.,1
353,dor,Old English,"A large door, a gate",4
354,the entrance to a pass between hills.,Modern English,,4
355,duru,Old English,"A door, a gate, a gap, a pass.",2
356,Personal,name (Uncertain) Unknown,Personal name,1
357,ǣcen,Old English,"Oaken: growing with oak-trees, or made of oak.",1
358,esol,Old English,An ass.,1
359,roial,Old French,Royal,2
360,falh Old English,Modern English,,5
361,fennig,Old English,"Dirty, muddy, marshy.",4
362,fox,Old English,A fox.,12
363,fugol,Old English,A bird (in a general sense),9
364,probably also a domestic bird.,Modern English,,9
365,gāt,Old English,A goat.,13
366,cross,Modern English,"A cross, the Cross.",6
367,Personal,name (Uncertain) Unknown,Personal name,1
368,horu,Old English,"Filth, dirt.",25
369,belle,Old English,A bell,8
370,probably also a bell-shaped hill.,Modern English,,8
371,cyne-,Old English,"Kingly, royal.",13
372,hlynn,Old English,A (noisy) torrent.,2
373,lind,Old English,A lime-tree.,15
374,lāf,Old English,"The remains, what is left, a bequest.",1
375,mysse,Old English,A water-plant.,1
376,under,Old English,"Under, beneath, below.",15
377,hamol,Old English,"Maimed, mutilated",10
378,"crooked, scarred, flat-topped, cut-off.",Modern English,,10
379,slǣp,Old English,A slippery place.  Not certain to have been used of marshes.,10
380,slǣpe,Old English,"Slippery, muddy.",4
381,mǣd,Old English,A meadow.,28
382,heorot,Old English,"A hart, a stag, a grown male deer.",32
383,hafoc Old English,Modern English,,10
384,hrycg,Old English,A ridge.,51
385,ōfer,Old English,A margin,37
386,"a river-bank, sea-shore.",Modern English,,37
387,Hwicce,Old English,A tribe which settled mostly in Gloucestershire and Worcestershire.,6
388,hogg,Old English,"A hog, a pig.",4
389,horsa,Old English,A horse.,1
390,hulu,Old English,"A shed, a hovel.",4
391,igil,Old English,A hedgehog,1
392,possibly also a leech.,Modern English,,1
393,yfer Old English,Modern English,,3
394,oxa,Old English,An ox.,19
395,la,Old French,"Definite article, the.",5
396,mūga,Old English,"A stack, a heap.",1
397,lætt,Old English,"A lath, a beam.",1
398,gelād,Old English,A difficult river-crossing,6
399,possibly also a ferry.,Modern English,,6
400,hlinc,Old English,"A bank, a ledge",19
401,a terrace,Modern English,,19
402,a ledge of ploughland on a hillside,Modern English,,19
403,an unploughed strip between fields.,Modern English,,19
404,lūte-gār,Old English,"A trapping spear, a spear set as a trap for impaling wild animals.",3
405,maiden,Middle English,"Maid, maiden.",1
406,medume,Old English,Middle,2
407,of medium size.,Modern English,,2
408,hrīsen,Old English,Growing with or made of brushwood.,3
409,monke,Middle English,A monk.,7
410,atten,Middle English,At the: used with masculine and neuter nouns.,25
411,port,Old English,"A haven, a harbour.",28
412,pīc,Old English,A point,8
413,a pointed tool,Modern English,,8
414,a pike (the fish),Modern English,,8
415,a pointed hill.,Modern English,,8
416,þorn,Old English,A hawthorn-tree.,99
417,pāwa,Old English,A peacock.,1
418,prēost,Old English,A priest.,53
419,prince,Middle English,A prince.,1
420,cwēn,Old English,"A queen, the wife or consort of a king.",6
421,cweorn,Old English,"A quern, a hand-mill",14
422,possibly also used of any mill.,Modern English,,14
423,Personal,name (Old Norse) Old Norse,Personal name,1
424,rūh,Old English,Rough.,27
425,hrís,Old Norse,"Shrubs, brushwood.",5
426,senget,Old English,"A place cleared by burning, a clearing.",1
427,sēar,Old English,"Dry, barren.",4
428,serre,Old French,Enclosure.,1
429,sceald,Old English,Shallow (especially of water).,12
430,scēne Old English,Modern English,,7
431,clǣg,Old English,"Clay, clayey soil.",25
432,stēpel Old English,Modern English,,18
433,Personal,name (Uncertain) Unknown,Personal name,1
434,Personal,name (Uncertain) Unknown,Personal name,1
435,cirice,Old English,A church.,101
436,stoccen,Old English,Made of logs.,3
437,stānig,Old English,"Stony, rocky",3
438,made of stone.,Modern English,,3
439,swan,Old English,A swan.,6
440,þyrre,Old English,"Dry, withered.",2
441,Personal,name (Old Norse) Old Norse,Personal name,1
442,fyrde,Old English,A ford.,3
443,wæter,Old English,"Water, a river, a lake.",16
444,weax,Old English,Wax,2
445,probably used in place-names in allusion to places where bees' wax was produced or found.,Modern English,,2
446,hwǣte,Old English,Wheat.,23
447,hwīt,Old English,White,68
448,"in early Modern English sometimes ""infertile"" in contrast with black, ""fertile"".",Modern English,,68
449,wince,Old English,"A winch, a pulley",2
450,a well with a winch or well-wheel turned by a crank,Modern English,,2
451,"perhaps also a bend, a corner.",Modern English,,2
452,wincel,Old English,"A nook, a corner.",10
453,wīg,Old English,An idol,9
454,a shrine.,Modern English,,9
455,wāg,Old English,A wall.,1
456,wyrm,Old English,"A reptile, a snake",3
457,a dragon.,Modern English,,3
458,seolfor,Old English,Silver,2
459,"in place-names, most likely to refer to colour.",Modern English,,2
460,ende,Old English,An end,12
461,"the end of something, the end of an estate, a district or quarter of a village or town.",Modern English,,12
462,bēam,Old English,A tree,9
463,the cross on which Christ was crucified,Modern English,,9
464,a beam of timber.,Modern English,,9
465,fen,Modern English,A fen.,1
466,brunnr,Old Norse,"A well, a spring.",11
467,bucc,Old English,"A buck, a male deer.",12
468,-ingahām,Old English,The village of the people of . . .,62
469,the village of the people called after . . .,Modern English,,62
470,Personal,name (Old Norse) Old Norse,Personal name,1
471,ric,Old English,A raised straight strip. (Uncertain),9
472,hīwan,Old English,"A household, the members of a family (plural).",17
473,ceaster,Old English,A city,69
474,an old fortification,Modern English,,69
475,a Roman site.,Modern English,,69
476,ceaf,Old English,Chaff.,3
477,Cumbre,Old English,"The Cymry, the Welsh, the Cumbrian Britons.",5
478,kunung Old Norse,Modern English,,13
479,cofa,Old English,An inner chamber,11
480,"a cave, a cove.",Modern English,,11
481,drȳge,Old English,"Dry, dried up.",6
482,elm,Old English,An elm-tree.,26
483,ēl Old English,Modern English,,17
484,gē Old English,Modern English,,10
485,dīc,Old English,"A ditch, usually an excavated trench, either defensive or for drainage of water.",38
486,fenn,Old English,"A fen, a marsh, marshland.",35
487,flēma Old English,Modern English,,1
488,grēot,Old English,Gravel.,12
489,sǣte,Old English,"Settlers, dwellers.",8
490,cis,Old English,Gravel.,1
491,sceldu Old English,Modern English,,4
492,fen,Old Norse,"A fen, a marsh.",1
493,grund,Old English,"Ground, bottom, foundation",5
494,a stretch of land,Modern English,,5
495,"(later) an outlying farm, outlying fields.",Modern English,,5
496,gylden,Old English,"Golden (literally as to material or colour, figuratively as to richness or splendour or fertility).",6
497,hēg Old English,Modern English,,24
498,horning,Old English,"A bend, a corner, a spit of land",7
499,a headland.,Modern English,,7
500,hors,Old English,A horse.,18
501,cnafa,Old English,"A boy, a young man, a servant, a menial.",5
502,bæc,Old English,A back,14
503,"used topographically of a ridge, varying from a low ridge in marshy ground to a steep escarpment.",Modern English,,14
504,in,Old English,In.,10
505,lȳtel,Old English,"Little, small.",50
506,mǣne,Old English,Common,9
507,communal (land).,Modern English,,9
508,mearc,Old English,"A march, a boundary",9
509,a boundary mark.,Modern English,,9
510,Merce Old English,Modern English,,5
511,melde,Old English,An orach.,2
512,Tribal-Name,Old English,Tribal name.,1
513,ord,Old English,"A point, a spear-point, a spear",5
514,"a corner or spit of land, a projecting ridge of ground.",Modern English,,5
515,ofer,Old English,"The tip of a promontory, a flat-topped ridge.",29
516,Personal,name (Uncertain) Unknown,Personal name,1
517,drove Modern English,Modern English,,3
518,persone,Middle English,"A parson, a beneficed cleric.",1
519,ramm,Old English,A ram.,13
520,hrēod,Old English,"A reed, a rush",34
521,a reed-bed.,Modern English,,34
522,scydd,Old English,"A hovel, a shed.",2
523,snægl,Old English,A snail.,1
524,sǣge,Old English,"A swamp, a marsh, a lake.",2
525,cū,Old English,A cow.,21
526,Swǣfe,Old English,The Swabians.,3
527,tēafor,Old English,"Red lead, vermilion.",3
528,toft,Old English,"A curtilage, the plot of ground in which a dwelling stands.",25
529,saint,Modern English,A saint.,24
530,titt,Old English,"Teat, nipple.",2
531,tydd,Old English,"Brushwood, shrubs.",2
532,wall Old English,Modern English,,29
533,ūt,Old English,"Outside, on the outskirts.",6
534,dam Modern English,Modern English,,1
535,Personal,name (Uncertain) Unknown,Personal name,1
536,wende,Old English,Something which bends,3
537,a bend.,Modern English,,3
538,wīc-hām,Old English,A settlement associated with a Roman 'vicus'.,10
539,wrætt,Old English,"Probably crosswort, hellebore.",5
540,wisse,Old English,"A meadow, a marsh.",1
541,beche,Middle English,A stream in a valley.,2
542,wisce,Old English,A marshy meadow,4
543,wice,Old English,A wych-elm-tree.,10
544,grange,Middle English,A grange,30
545,"originally a granary, a barn",Modern English,,30
546,later a farm,Modern English,,30
547,"also an outlying farm belonging to a religious house or a feudal lord, where crops were stored.",Modern English,,30
548,Personal,name (Old Norse) Old Norse,Personal name,1
549,uferra,Old English,Higher.,14
550,æcer,Old English,A plot of cultivated land,18
551,a measure of land which a yoke of oxen could plough in a day. (Indistinguishable from akr.),Modern English,,18
552,Personal,name (Old Norse) Old Norse,Personal name,1
553,buskr,Old Norse,"A bush, a shrub.",2
554,Personal,name (Old Norse) Old Norse,Personal name,1
555,hlid,Old English,A slope.,7
556,Personal,name (Old Norse) Old Norse,Personal name,1
557,erg,Old Norse,"A shieling, a hill-pasture",23
558,"a summer-pasture camp, a dairy or grazing out-station.",Modern English,,23
559,man-drēam,Old English,"Revelry, festivity.",1
560,River-Name Unknown,Modern English,,1
561,bearu,Old English,A grove.  (Usually refers to a wood of limited extent rather than to forest areas.),43
562,byge,Old English,"A corner, an angle",6
563,the bend of a river.,Modern English,,6
564,bīcere,Old English,A bee-keeper.,4
565,bīc,Old English,A point,2
566,a bees-nest.,Modern English,,2
567,birce Old English,Modern English,,10
568,bircel,Old English,A little birch-tree,2
569,a place where birch-trees grow.,Modern English,,2
570,blæc,Old English,"Black, dark-coloured, dark.",38
571,cnoll,Old English,"A knoll, a small rounded hill.",18
572,crabba,Old English,"A crab, a crayfish.",1
573,feo,Middle English,"A fee, a lordship.",2
574,boga,Old English,"A bow, an arch",12
575,an arched bridge,Modern English,,15
576,a bow (for shooting),Modern English,,15
577,"something curved or bent, such as a river bend or curved valley.",Modern English,,15
578,bred,Old English,"A plank, a board.",9
579,brēr Old English,Modern English,,7
580,smið,Old English,"A smith, a worker in metal.",8
581,trog,Old English,"A trough, a long narrow vessel",4
582,bridd,Old English,A bird,5
583,a young bird.,Modern English,,5
584,stæð,Old English,"A river-bank, shore",3
585,a landing-place.,Modern English,,3
586,berned,Old English,Burnt.,4
587,burgæsn,Old English,A burial place.,1
588,bugge,Middle English,"A boggart, a hobgoblin.",3
589,bulluc,Old English,"A male calf, a bullock.",2
590,būr,Old English,"A cottage, a dwelling",10
591,"a chamber, a private apartment",Modern English,,10
592,a secluded dwelling or place of resort.,Modern English,,10
593,ears,Old English,A buttock,3
594,a rounded hill.,Modern English,,3
595,cape,Old English,A look-out place.,3
596,kapp,Old Norse,"A match, a contest.",1
597,carr Old English,Modern English,,4
598,worðign,Old English,An enclosure.,15
599,cæring,Old English,"A bend, a turning.",2
600,caring,Old English,"Tending, herding.",1
601,cēod,Old English,A bag,5
602,"topographically perhaps a hollow, a bay.",Modern English,,5
603,ceole,Old English,A throat,11
604,"topographically a channel, a gorge, a ravine.",Modern English,,11
605,cristen,Old English,A Christian.,2
606,hulm Old Norse,Modern English,,6
607,læcc,Old English,"A stream, a bog.",8
608,scucca,Old English,"An evil spirit, a demon.",3
609,crṻg C,Modern English,,16
610,klakkr,Old Norse,A lump,5
611,probably also a hill.,Modern English,,5
612,tún,Old Norse,"An enclosure, a farmstead.",23
613,clǣfre,Old English,Clover.,8
614,clōh,Old English,A ravine.,5
615,clūd,Old English,"A rock, a mass of rock",2
616,probably also a (rocky) hill.,Modern English,,2
617,cogg,Old English,"A cog-wheel, a mill",4
618,hall,Old English,"A slope, a hill",21
619,a boulder.,Modern English,,21
620,cung,Old English,A mound.,2
621,pil-āte,Old English,Pill-oats.,4
622,abbat,Middle English,An abbot.,5
623,crïu C,Modern English,,2
624,crōh,Old English,"A nook, a corner.",6
625,croh,Old English,Saffron.,5
626,derne Old English,Modern English,,3
627,de,Old French,Of.,1
628,dystels,Old English,A mound,1
629,something thrown up in a heap.,Modern English,,1
630,clā,Old English,A claw,2
631,topographically something claw-like or cloven.,Modern English,,2
632,wifel,Old English,"A weevil, a beetle.",6
633,dūce,Old English,A duck.,2
634,eglẹ̄s C,Modern English,,14
635,ecg,Old English,An edge,9
